,0,1,2,3,4
Experiment,2_4,2_4,2_4,2_4,2_4
Temp,0.0,0.5,1.0,1.5,2.0
p(A),100.00%,98.00%,76.00%,68.00%,60.00%
p(B),0.00%,0.00%,0.00%,0.00%,0.00%
p(C),0.00%,2.00%,24.00%,32.00%,40.00%
Obs.,50,50,50,50,40
