,0,1,2,3,4
Experiment,2_2,2_2,2_2,2_2,2_2
Temp,0.0,0.5,1.0,1.5,2.0
p(A),100.00%,100.00%,94.00%,74.00%,66.67%
p(B),0.00%,0.00%,0.00%,0.00%,0.00%
p(C),0.00%,0.00%,6.00%,26.00%,33.33%
Obs.,50,50,50,50,45
