,0,1,2,3,4
Experiment,1_3,1_3,1_3,1_3,1_3
Temp,0.0,0.5,1.0,1.5,2.0
p(A),0.00%,0.00%,0.00%,2.00%,2.22%
p(B),0.00%,0.00%,6.00%,6.00%,13.33%
p(C),100.00%,100.00%,94.00%,92.00%,84.44%
Obs.,50,50,50,50,45
