,0,1,2,3,4
Experiment,1_5,1_5,1_5,1_5,1_5
Temp,0.0,0.5,1.0,1.5,2.0
p(A),0.00%,0.00%,6.00%,20.00%,31.25%
p(B),0.00%,0.00%,0.00%,0.00%,2.08%
p(C),100.00%,100.00%,94.00%,80.00%,66.67%
Obs.,50,50,50,50,48
