,0,1,2,3,4
Experiment,1_6,1_6,1_6,1_6,1_6
Temp,0.0,0.5,1.0,1.5,2.0
p(A),100.00%,78.00%,78.00%,66.00%,64.58%
p(B),0.00%,0.00%,0.00%,0.00%,0.00%
p(C),0.00%,22.00%,22.00%,34.00%,35.42%
Obs.,50,50,50,50,48
