,0,1,2,3,4
Experiment,2_6,2_6,2_6,2_6,2_6
Temp,0.0,0.5,1.0,1.5,2.0
p(A),0.00%,8.00%,12.00%,32.65%,41.86%
p(B),0.00%,0.00%,0.00%,0.00%,0.00%
p(C),100.00%,92.00%,88.00%,67.35%,58.14%
Obs.,50,50,50,49,43
