,0,1,2,3,4
Experiment,1_7,1_7,1_7,1_7,1_7
Temp,0.0,0.5,1.0,1.5,2.0
p(A),0.00%,2.00%,18.00%,28.57%,25.00%
p(B),0.00%,0.00%,0.00%,0.00%,0.00%
p(C),100.00%,98.00%,82.00%,71.43%,75.00%
Obs.,50,50,50,49,48
