,0,1,2,3,4
Experiment,1_8,1_8,1_8,1_8,1_8
Temp,0.0,0.5,1.0,1.5,2.0
p(A),100.00%,88.00%,72.00%,68.00%,57.14%
p(B),0.00%,2.00%,2.00%,14.00%,16.67%
p(C),0.00%,10.00%,26.00%,18.00%,26.19%
Obs.,50,50,50,50,42
