,0,1,2,3,4
Experiment,2_1,2_1,2_1,2_1,2_1
Temp,0.0,0.5,1.0,1.5,2.0
p(A),0.00%,0.00%,0.00%,2.00%,6.00%
p(B),0.00%,0.00%,0.00%,0.00%,2.00%
p(C),100.00%,100.00%,100.00%,98.00%,92.00%
Obs.,50,50,50,50,50
