,0,1,2,3,4
Experiment,2_3,2_3,2_3,2_3,2_3
Temp,0.0,0.5,1.0,1.5,2.0
p(A),0.00%,0.00%,0.00%,2.04%,0.00%
p(B),0.00%,0.00%,0.00%,0.00%,6.38%
p(C),100.00%,100.00%,100.00%,97.96%,93.62%
Obs.,50,50,50,49,47
