,0,1,2,3,4
Experiment,1_5,1_5,1_5,1_5,1_5
Temp,0.0,0.5,1.0,1.5,2.0
p(A),100.00%,70.00%,50.00%,46.00%,42.86%
p(B),0.00%,4.00%,18.00%,22.00%,18.37%
p(C),0.00%,26.00%,32.00%,32.00%,38.78%
Obs.,50,50,50,50,49
