,0,1,2,3,4
Experiment,2_6,2_6,2_6,2_6,2_6
Temp,0.0,0.5,1.0,1.5,2.0
p(A),98.00%,96.00%,88.00%,84.00%,75.51%
p(B),0.00%,0.00%,0.00%,2.00%,0.00%
p(C),2.00%,4.00%,12.00%,14.00%,24.49%
Obs.,50,50,50,50,49
