,0,1,2,3,4
Experiment,2_8,2_8,2_8,2_8,2_8
Temp,0.0,0.5,1.0,1.5,2.0
p(A),0.00%,2.00%,8.00%,16.00%,23.40%
p(B),0.00%,0.00%,0.00%,2.00%,8.51%
p(C),100.00%,98.00%,92.00%,82.00%,68.09%
Obs.,50,50,50,50,47
