,0,1,2,3,4
Experiment,1_6,1_6,1_6,1_6,1_6
Temp,0.0,0.5,1.0,1.5,2.0
p(A),100.00%,84.00%,56.00%,50.00%,36.36%
p(B),0.00%,0.00%,8.00%,10.00%,22.73%
p(C),0.00%,16.00%,36.00%,40.00%,40.91%
Obs.,50,50,50,50,44
