,0,1,2,3,4
Experiment,2_2,2_2,2_2,2_2,2_2
Temp,0.0,0.5,1.0,1.5,2.0
p(A),0.00%,0.00%,0.00%,0.00%,4.08%
p(B),0.00%,0.00%,0.00%,2.00%,0.00%
p(C),100.00%,100.00%,100.00%,98.00%,95.92%
Obs.,50,50,50,50,49
