,0,1,2,3,4
Experiment,2_5,2_5,2_5,2_5,2_5
Temp,0.0,0.5,1.0,1.5,2.0
p(A),94.00%,70.00%,60.00%,60.00%,57.14%
p(B),0.00%,0.00%,0.00%,0.00%,0.00%
p(C),6.00%,30.00%,40.00%,40.00%,42.86%
Obs.,50,50,50,50,49
