,0,1,2,3,4
Experiment,1_1,1_1,1_1,1_1,1_1
Temp,0.0,0.5,1.0,1.5,2.0
p(A),100.00%,92.00%,84.00%,60.00%,48.94%
p(B),0.00%,6.00%,12.00%,32.00%,14.89%
p(C),0.00%,2.00%,4.00%,8.00%,36.17%
Obs.,50,50,50,50,47
