,0,1,2,3,4
Experiment,1_3,1_3,1_3,1_3,1_3
Temp,0.0,0.5,1.0,1.5,2.0
p(A),100.00%,98.00%,78.00%,68.00%,65.91%
p(B),0.00%,0.00%,8.00%,14.00%,9.09%
p(C),0.00%,2.00%,14.00%,18.00%,25.00%
Obs.,50,50,50,50,44
