Prospect Theory;;;;;;;
PT2_4_3_2;llama-2-70b;2;4;;;;
PT2_4_3_3;llama-2-70b;3;4;;;;
PT2_4_3_4;llama-2-70b;4;4;;;;
PT2_4_3_5;llama-2-70b;5;4;;;;
PT2_4_3_6;llama-2-70b;6;4;;;;
;;;;;;;
;;;;;;;
Decoy Effect;;;;;;;
Experiment ID;Model;Scenario;Priming;Reorder;;;
DE_1_1;gpt-3.5-turbo;1;0;0;;Scenario refers to;
DE_1_2;gpt-3.5-turbo;2;0;0;;1 with all options present;
DE_1_3;gpt-3.5-turbo;1;1;0;;2 with the decoy option removed;
DE_1_4;gpt-3.5-turbo;2;1;0;;;
DE_1_5;gpt-3.5-turbo;1;0;1;;Priming & Reorder and encoded binary;
DE_1_6;gpt-3.5-turbo;2;0;1;;;
DE_1_7;gpt-3.5-turbo;1;1;1;;;
DE_1_8;gpt-3.5-turbo;2;1;1;;;
DE_2_1;gpt-4-1106-preview;1;0;0;;;
DE_2_2;gpt-4-1106-preview;2;0;0;;;
DE_2_3;gpt-4-1106-preview;1;1;0;;;
DE_2_4;gpt-4-1106-preview;2;1;0;;;
DE_2_5;gpt-4-1106-preview;1;0;1;;;
DE_2_6;gpt-4-1106-preview;2;0;1;;;
DE_2_7;gpt-4-1106-preview;1;1;1;;;
DE_2_8;gpt-4-1106-preview;2;1;1;;;
DE_3_1;llama-2-70b;1;0;0;;;
DE_3_2;llama-2-70b;2;0;0;;;
DE_3_3;llama-2-70b;1;1;0;;;
DE_3_4;llama-2-70b;2;1;0;;;
DE_3_5;llama-2-70b;1;0;1;;;
DE_3_6;llama-2-70b;2;0;1;;;
DE_3_7;llama-2-70b;1;1;1;;;
DE_3_8;llama-2-70b;2;1;1;;;
;;;;;;;
;;;;;;;
Transaction Utility: Hockey game ticket with original numbers;;;;;;;
Experiment ID;Model;Initial costs;Current costs;Buyer;Configuration;;
TU_1_1_1_1;gpt-3.5-turbo;0;5;Friend;1;;Here configuration refers to the unique combination of variables used in the prompt
TU_1_1_1_2;gpt-3.5-turbo;0;5;Stranger;2;;
TU_1_1_2_1;gpt-3.5-turbo;0;10;Friend ;3;;
TU_1_1_2_2;gpt-3.5-turbo;0;10;Stranger;4;;
TU_1_2_1_1;gpt-3.5-turbo;5;5;Friend;5;;
TU_1_2_1_2;gpt-3.5-turbo;5;5;Stranger;6;;
TU_1_2_2_1;gpt-3.5-turbo;5;10;Friend ;7;;
TU_1_2_2_2;gpt-3.5-turbo;5;10;Stranger;8;;
TU_1_3_1_1;gpt-3.5-turbo;10;5;Friend;9;;
TU_1_3_1_2;gpt-3.5-turbo;10;5;Stranger;10;;
TU_1_3_2_1;gpt-3.5-turbo;10;10;Friend ;11;;
TU_1_3_2_2;gpt-3.5-turbo;10;10;Stranger;12;;
TU_2_1_1_1;gpt-4-1106-preview;0;5;Friend;1;;
TU_2_1_1_2;gpt-4-1106-preview;0;5;Stranger;2;;
TU_2_1_2_1;gpt-4-1106-preview;0;10;Friend ;3;;
TU_2_1_2_2;gpt-4-1106-preview;0;10;Stranger;4;;
TU_2_2_1_1;gpt-4-1106-preview;5;5;Friend;5;;
TU_2_2_1_2;gpt-4-1106-preview;5;5;Stranger;6;;
TU_2_2_2_1;gpt-4-1106-preview;5;10;Friend ;7;;
TU_2_2_2_2;gpt-4-1106-preview;5;10;Stranger;8;;
TU_2_3_1_1;gpt-4-1106-preview;10;5;Friend;9;;
TU_2_3_1_2;gpt-4-1106-preview;10;5;Stranger;10;;
TU_2_3_2_1;gpt-4-1106-preview;10;10;Friend ;11;;
TU_2_3_2_2;gpt-4-1106-preview;10;10;Stranger;12;;
TU_3_1_1_1;llama-2-70b;0;5;Friend;1;;
TU_3_1_1_2;llama-2-70b;0;5;Stranger;2;;
TU_3_1_2_1;llama-2-70b;0;10;Friend ;3;;
TU_3_1_2_2;llama-2-70b;0;10;Stranger;4;;
TU_3_2_1_1;llama-2-70b;5;5;Friend;5;;
TU_3_2_1_2;llama-2-70b;5;5;Stranger;6;;
TU_3_2_2_1;llama-2-70b;5;10;Friend ;7;;
TU_3_2_2_2;llama-2-70b;5;10;Stranger;8;;
TU_3_3_1_1;llama-2-70b;10;5;Friend;9;;
TU_3_3_1_2;llama-2-70b;10;5;Stranger;10;;
TU_3_3_2_1;llama-2-70b;10;10;Friend ;11;;
TU_3_3_2_2;llama-2-70b;10;10;Stranger;12;;
;;;;;;;
;;;;;;;
Transaction Utility: Hockey game ticket with alternative numbers;;;;;;;
Experiment ID;Model;Actual ticket price;Initial costs;Orientation price;Configuration;;
TU3_1_1_1_1_1;gpt-3.5-turbo;15.71;0;15.71;1;;Here configuration refers to the unique combination of variables used in the prompt
TU3_1_1_1_1_2;gpt-3.5-turbo;15.71;0;15.71;2;;
TU3_1_1_1_2_1;gpt-3.5-turbo;15.71;0;31.42;3;;
TU3_1_1_1_2_2;gpt-3.5-turbo;15.71;0;31.42;4;;
